No errors
No warnings
170 ms
data source=aircraftreports
1345 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2022-03-04T16:47:27Z,2022-03-04T16:47:00Z,,,,,,,ICE454,63.0,-20.9167,30900,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,262,53,,AIREP,ARP ICE454 6300N02055W 1647 F309 RAPAX 1701 6000N01500W MS57 262/53 KT TFICE QXS KEF 041647 F70A ,
2022-03-04T16:48:01Z,2022-03-04T16:47:00Z,,,,,,,AAL51,58.0167,-19.9333,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,248,54,,AIREP,ARP AAL51 5801N01956W 1647 F340 5802N01959W 1647 5902N03000W MS55 248/54 KT N724AN DDL XXN 041647 F42A ,
2022-03-04T16:47:28Z,2022-03-04T16:47:00Z,,,,,,,DLH520,56.7833,-12.8833,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,282,26,,AIREP,ARP DLH520 5647N01253W 1647 F360 SUNOT 1656 5800N02000W MS50 282/26 KT DAIXK DDL SYY 041647 J20A ,
2022-03-04T16:48:58Z,2022-03-04T16:47:00Z,,,,,,,EIN1YE,56.6833,-51.35,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,186,57,,AIREP,ARP EIN1YE 5641N05121W 1647 F350 HOIST 1718 5105N07145W MS55 186/57 KT EILRB DDL IG1 041648 J42A ,
2022-03-04T16:48:01Z,2022-03-04T16:47:00Z,,,,,,,RCH139,55.9,-10.3833,30900,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,275,53,,AIREP,ARP RCH139 5554N01023W 1647 F309 PIKIL 1712 5700N02000W MS51 275/53 KT 90059A DDL XXN 041647 F21A ,
2022-03-04T16:49:13Z,2022-03-04T16:47:00Z,,,,,,,AAL57,55.6333,-44.8,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,201,78,,AIREP,ARP AAL57 5538N 04448W 1647 F330 M52 201/78 5500N 05000W 1712 LOMSI KT N734AR DDL UAK 041647 F62A,
2022-03-04T16:47:27Z,2022-03-04T16:47:00Z,,,,,,,BAW297,54.7833,-11.2833,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,289,29,,AIREP,ARP BAW297 5447N01117W 1647 F360 PIKIL 1706 5800N02000W MS48 289/29 KT GZBKG DDL TRE 041647 L29A ,
2022-03-04T16:47:27Z,2022-03-04T16:47:00Z,,,,,,,BAW67V,53.4,-22.85,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,257,37,,AIREP,ARP BAW67V 5324N02251W 1647 F380 5401N03000W 1720 5501N04000W MS47 257/37 KT GZBKA DDL XXF 041647 L47A ,
2022-03-04T16:48:22Z,2022-03-04T16:47:00Z,,,,,,,FDX2,53.0167,-19.0167,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,272,18,,AIREP,ARP FDX2 5301N01901W 1647 F370 MALOT 1705 GISTI MS46 272/18 KT N894FD QXT EUA 041648 F93A ,
2022-03-04T16:48:22Z,2022-03-04T16:47:00Z,,,,,,,UPS219,49.6833,-32.0167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-61,281,87,,AIREP,ARP UPS219 4941N03201W 1647 F350 5000N03000W 1657 5000N02000W MS61 281/87 KT N330UP QXT IGW 041648 F76A ,
2022-03-04T16:47:18Z,2022-03-04T16:46:00Z,,,,,,,BAW31F,60.9,-52.6833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,50,43,,AIREP,ARP BAW31F 6054N 05241W 1646 F380 M55 050/43 PIDSO 1706 PEPKI KT GZBKP DDL UAK 041646 L55A,
2022-03-04T16:49:13Z,2022-03-04T16:46:00Z,,,,,,,ACA81,57.8667,-27.6,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,238,50,,AIREP,ARP ACA81 5752N 02736W 1646 F400 M50 238/50 5801N 03000W 1657 5801N 04000W KT CGHPV DDL XXF 041646 L33A,
2022-03-04T16:49:13Z,2022-03-04T16:46:00Z,,,,,,,AFR090,57.0167,-46.25,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,198,68,,AIREP,ARP AFR090 5701N 04615W 1646 F360 M54 198/68 5632N 05001W 1704 5434N 05702W KT FGSQY DDL UAK 041646 F43A,
2022-03-04T16:49:13Z,2022-03-04T16:46:00Z,,,,,,,DAL47,56.9333,-46.6333,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,196,73,,AIREP,ARP DAL47 5656N 04638W 1646 F370 M54 196/73 5630N 05000W 1702 IRLOK KT N405DX DDL UAK 041646 J17A,
2022-03-04T16:47:09Z,2022-03-04T16:46:00Z,,,,,,,VIR103M,56.0,-19.8333,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,241,27,,AIREP,ARP VIR103M 5600N01950W 1646 F380 5600N02000W 1647 5702N03000W MS46 241/27 KT GVPOP DDL XXF 041647 J13A ,
2022-03-04T16:49:13Z,2022-03-04T16:46:00Z,,,,,,,UPS219,49.6333,-32.3,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-61,280,89,,AIREP,ARP UPS219 4938N 03218W 1646 F350 M61 280/89 5000N 03000W 1657 5000N 02000W KT N330UP QXT IGW 041647 F75A,
2022-03-04T16:49:12Z,2022-03-04T16:46:00Z,,,,,,,LJ60,48.2598,-103.751,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIREP,S25 UA /OV XWA /TM 1646 /FL000 /TP LJ60 /RM RWY14 BA GOOD,
2022-03-04T16:47:18Z,2022-03-04T16:45:00Z,,,,,,,IBE6275,59.1167,-46.9833,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,179,71,,AIREP,ARP IBE6275 5907N 04659W 1645 F340 M57 179/71 5902N 05001W 1658 AVUTI KT ECLUK DDL UAK 041645 J67A,
2022-03-04T16:47:18Z,2022-03-04T16:45:00Z,,,,,,,SWR64,58.9667,-40.7167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,202,70,,AIREP,ARP SWR64 5858N 04043W 1645 F340 M59 202/70 5801N 05001W 1726 5603N 05701W KT HBJNH DDL UAK 041645 F56A,
2022-03-04T16:49:13Z,2022-03-04T16:45:00Z,,,,,,,KLM259,57.4167,-52.4,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,189,55,,AIREP,ARP KLM259 5725N 05224W 1645 F380 M53 189/55 5603N 05701W 1710 4733N 06747W KT PHAOD QXT AME 041646 J88A,
2022-03-04T16:47:18Z,2022-03-04T16:45:00Z,,,,,,,DAL75,56.65,-49.1167,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,190,64,,AIREP,ARP DAL75 5639N 04907W 1645 F360 M54 190/64 5631N 05001W 1649 5433N 05701W KT N802NW DDL UAK 041645 J76A,
2022-03-04T16:49:13Z,2022-03-04T16:45:00Z,,,,,,,AFR054,52.4833,-17.1333,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,245,38,,AIREP,ARP AFR054 5229N 01708W 1645 F340 M50 245/38 5301N 02000W 1700 5401N 03000W KT FGZNA QXT EUA 041645 F14A,
2022-03-04T16:49:13Z,2022-03-04T16:45:00Z,,,,,,,OYSPA,51.0833,-22.3667,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,281,41,,AIREP,ARP OYSPA 5105N 02222W 1645 F380 M48 281/41 5101N 03000W 1724 5001N 04000W KT OYSPA QXT AOE 041645 M64A,
2022-03-04T16:47:18Z,2022-03-04T16:45:00Z,,,,,,,BCS361,49.65,-42.1167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,233,142,,AIREP,ARP BCS361 4939N 04207W 1645 F350 M60 233/142 4959N 04000W 1654 5159N 03000W KT DAJFK DDL XXN 041645 J51A,
2022-03-04T16:49:13Z,2022-03-04T16:45:00Z,,,,,,,BAW2155,45.3833,-23.1,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,292,86,,AIREP,ARP BAW2155 4523N 02306W 1645 F370 M47 292/86 4501N 02345W 1649 4101N 03001W KT GVIIR DDL XXF 041645 F39A,
2022-03-04T16:50:05Z,2022-03-04T16:45:00Z,,,,,,,B737,32.7557,-117.3259,0,BKN,2000,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIREP,SAN UA /OV KSAN270007/TM 1645/FLDURC/TP B737/SK BKN020-TOP045,
2022-03-04T16:49:13Z,2022-03-04T16:45:00Z,,,,,,,MAS8022,15.3333,73.2333,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-34,257,41,,AIREP,ARP MAS8022 1520N 07314E 1645 F320 M34 257/41,
2022-03-04T16:45:34Z,2022-03-04T16:44:00Z,,,,,,,DLH470,62.05,-38.4333,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,205,54,,AIREP,ARP DLH470 6203N 03826W 1644 F360 M55 205/54 6200N 04000W 1650 6100N 05000W KT DAIGL DDL KUS 041644 J51A,
2022-03-04T16:49:13Z,2022-03-04T16:44:00Z,,,,,,,B737,61.0455,-151.1029,10000,,,,,,,,,,,,,,,,,RIME,MOD,10000,16000,,,,,,,-1,,,,PIREP,ANC UA /OV TED240034/TM 1644/FL100/TP B737/TA M1/IC MOD RIME 160-100/RM DURD ,
2022-03-04T16:47:18Z,2022-03-04T16:44:00Z,,,,,,,EIN13J,58.1333,-33.9167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,226,58,,AIREP,ARP EIN13J 5808N 03355W 1644 F350 M57 226/58 5802N 04000W 1712 5702N 05001W KT EIGCF DDL XXN 041645 J53A,
2022-03-04T16:45:34Z,2022-03-04T16:44:00Z,,,,,,,OCN64,58.0833,-49.7,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,193,62,,AIREP,ARP OCN64 5805N 04942W 1644 F380 M56 193/62 5800N 05000W 1645 5604N 05702W KT DAFYQ DDL UAK 041644 J70A,
2022-03-04T16:45:34Z,2022-03-04T16:44:00Z,,,,,,,ACA885,58.0,-40.0333,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,205,80,,AIREP,ARP ACA885 5800N 04002W 1644 F370 M57 205/80 5700N 05000W 1730 HOIST KT CGEGP DDL UAK 041644 J63A,
2022-03-04T16:47:18Z,2022-03-04T16:44:00Z,,,,,,,ETD19G,57.5167,-40.1,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,332,84,,AIREP,ARP ETD19G 5731N 04006W 1644 F380 M54 332/84 5631N 05001W 1729 5433N 05701W KT A6BLE QXT AME 041644 L59A,
2022-03-04T16:45:34Z,2022-03-04T16:44:00Z,,,,,,,QTR28M,57.0167,-49.9167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,198,57,,AIREP,ARP QTR28M 5701N 04955W 1644 F390 M54 198/57 5700N 05000W 1644 HOIST KT A7AML QXS UAK 041644 J80A,
2022-03-04T16:47:18Z,2022-03-04T16:44:00Z,,,,,,,DLH520,56.7,-12.2833,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,274,29,,AIREP,ARP DLH520 5642N 01217W 1644 F360 M50 274/29 SUNOT 1656 5800N 02000W KT DAIXK DDL TRE 041644 J19A,
2022-03-04T16:47:18Z,2022-03-04T16:44:00Z,,,,,,,BAW15K,55.6667,-25.6833,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,252,62,,AIREP,ARP BAW15K 5540N 02541W 1644 F350 M52 252/62 5600N 03000W 1705 5600N 04000W KT GSTBD DDL XXF 041644 F28A,
2022-03-04T16:45:34Z,2022-03-04T16:44:00Z,,,,,,,JBU44,54.7667,-52.9167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,197,48,,AIREP,ARP JBU44 5446N 05255W 1644 F340 M54 197/48 KODIK 1708 4722N 06718W KT N4048J QXT IGW 041644 J06A,
2022-03-04T16:47:18Z,2022-03-04T16:44:00Z,,,,,,,VALOR76,53.7167,-31.8,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,241,54,,AIREP,ARP VALOR76 5343N 03148W 1644 F410 M51 241/54 5400N 03000W 1652 5400N 02000W KT 10076 DDL XXF 041645 A63A,
2022-03-04T16:45:34Z,2022-03-04T16:44:00Z,,,,,,,BAW178,49.1,-34.9833,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,250,78,,AIREP,ARP BAW178 4906N 03459W 1644 F400 M55 250/78 4958N 02959W 1705 5058N 02000W KT GVIIF DDL XXH 041644 F64A,
2022-03-04T16:49:13Z,2022-03-04T16:44:00Z,,,,,,,UAE648,19.0,63.6,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,259,69,,AIREP,ARP UAE648 1900N 06336E 1644 F370 M45 259/69,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,AAL221,63.15,-48.9167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,308,52,,AIREP,ARP AAL221 6309N 04855W 1643 F390 M53 308/52 6300N 05000W 1647 MAXAR KT N816AA DDL XXN 041643 L48A,
2022-03-04T16:49:13Z,2022-03-04T16:43:00Z,,,,,,,UAL906,62.8333,-51.65,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,49,54,,AIREP,ARP UAL906 6250N 05139W 1643 F380 M54 049/54 LIBOR 1707 RODBO KT N38955 DDL XXN 041645 L73A,
2022-03-04T16:45:34Z,2022-03-04T16:43:00Z,,,,,,,LOT29,61.4333,-52.0667,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,41,41,,AIREP,ARP LOT29 6126N 05204W 1643 F400 M54 041/41 SAVRY 1710 IRBIM KT SPLRC QXS UAK 041643 L57A,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,AFR652,57.7,-27.9833,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,252,40,,AIREP,ARP AFR652 5742N 02759W 1643 F330 M52 252/40 5801N 03000W 1652 5801N 04000W KT FGSQS QXT EUA 041643 F28A,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,AUA89,57.1667,-48.8333,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,191,60,,AIREP,ARP AUA89 5710N 04850W 1643 F350 M55 191/60 5700N 05000W 1649 HOIST KT OELAY DDL UAK 041643 F12A,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,BAW9L,56.3667,-52.5833,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,319,58,,AIREP,ARP BAW9L 5622N 05235W 1643 F400 M55 319/58 HOIST 1705 5105N 07145W KT GZBJD DDL YHO 041643 L95A,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,AAL37,54.7667,-43.45,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,336,98,,AIREP,ARP AAL37 5446N 04327W 1643 F360 M51 336/98 5401N 05001W 1715 NEEKO KT N827AN DDL XXN 041643 L60A,
2022-03-04T16:45:34Z,2022-03-04T16:43:00Z,,,,,,,DLH418,54.4167,-46.8167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,209,77,,AIREP,ARP DLH418 5425N 04649W 1643 F380 M51 209/77 5400N 05000W 1700 NEEKO KT DAIKO DDL XXH 041644 J56A,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,UAL934,54.1167,-49.6833,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,205,52,,AIREP,ARP UAL934 5407N 04941W 1643 F300 M51 205/52 5700N 04000W 1726 5900N 03000W KT N670UA DDL XXU 041643 F39A,
2022-03-04T16:47:18Z,2022-03-04T16:43:00Z,,,,,,,GOLD23,47.7,-10.7,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,283,31,,AIREP,ARP GOLD23 4742N 01042W 1643 F270 M42 283/31 4836N 00900W 1653 EMPER KT 37992S DDL XXN 041643 M19A,
2022-03-04T16:45:19Z,2022-03-04T16:43:00Z,,,,,,,UPS203,46.6,-51.75,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,228,118,,AIREP,ARP UPS203 4636N 05145W 1643 F350 M53 228/118 4700N 05000W 1651 5000N 04000W KT N574UP QXS YYT 041643 F13A,
2022-03-04T16:47:18Z,2022-03-04T16:43:00Z,,,,,,,FDX8,45.2167,-14.2333,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,261,42,,AIREP,ARP FDX8 4513N 01414W 1643 F340 M47 261/42 PASAS 1649 STG KT N852FD QXT EUA 041643 F01A,
2022-03-04T16:49:12Z,2022-03-04T16:43:00Z,,,,,,,B737,38.3443,-98.8592,32000,,,,,,,,LGT-MOD,,,,,,,,,,,,,,,,,,,,,,,PIREP,GBD UA /OV GBD/TM 1643/FL320/TP B737/TB LGT-MOD/RM /ZKC FDC/CW ,
2022-03-04T16:49:10Z,2022-03-04T16:43:00Z,,,,,,,C172,33.0923,-116.6014,0,,,,,,,,,,,,,,,,,,,,,,,,,,SN,0,180,2,,PIREP,RNM UA /OV JLI180003/TM 1643/FL000/TP C172/WX SN/TA 00/WV 18002KT/RM STEADY SN,
2022-03-04T16:45:19Z,2022-03-04T16:42:00Z,,,,,,,DLH402,59.0833,-37.4667,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,211,63,,AIREP,ARP DLH402 5905N 03728W 1642 F360 M56 211/63 5901N 04000W 1653 5801N 05001W KT DABYK DDL XXH 041642 F78A,
2022-03-04T16:45:19Z,2022-03-04T16:42:00Z,,,,,,,QTR78U,58.0667,-49.8,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,183,61,,AIREP,ARP QTR78U 5804N 04948W 1642 F340 M54 183/61 5800N 05000W 1643 5604N 05702W KT A7BER QXS UAK 041642 F56A,
2022-03-04T16:45:34Z,2022-03-04T16:42:00Z,,,,,,,CJT980,57.45,-28.6333,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,261,57,,AIREP,ARP CJT980 5727N 02838W 1642 F330 M53 261/57 5732N 03000W 1648 5732N 04000W KT CGAAJ DDL IG1 041642 F47A,
2022-03-04T16:45:34Z,2022-03-04T16:42:00Z,,,,,,,BOX460,57.1,-13.6167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,276,43,,AIREP,ARP BOX460 5706N 01337W 1642 F340 M50 276/43 5800N 02000W 1711 5900N 03000W KT DAALG DDL XXI 041642 F12A,
2022-03-04T16:45:34Z,2022-03-04T16:42:00Z,,,,,,,THY1,56.5333,-10.7,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,285,29,,AIREP,ARP THY1 5632N 01042W 1642 F340 M49 285/29 5647N 01249W 1651 SUNOT KT TCJJI QXS BRR 041642 F11A,
2022-03-04T16:45:19Z,2022-03-04T16:42:00Z,,,,,,,HRT336,56.1,-36.3833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,225,88,,AIREP,ARP HRT336 5606N 03623W 1642 F380 M54 225/88 5600N 04000W 1700 5500N 05000W KT CFORB QXT IGW 041642 M41A,
2022-03-04T16:45:19Z,2022-03-04T16:42:00Z,,,,,,,BAW269,54.9167,-11.4167,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,282,31,,AIREP,ARP BAW269 5455N 01125W 1642 F320 M54 282/31 PIKIL 1700 5800N 02000W KT GSTBB DDL BFS 041642 F18A,
2022-03-04T16:47:18Z,2022-03-04T16:42:00Z,,,,,,,VALOR76,53.6167,-32.3667,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,247,56,,AIREP,ARP VALOR76 5337N 03222W 1642 F410 M52 247/56 5400N 03000W 1652 5400N 02000W KT 10076 DDL XXH 041642 A62A,
2022-03-04T16:47:18Z,2022-03-04T16:42:00Z,,,,,,,FDX32,53.0833,-22.5833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,257,27,,AIREP,ARP FDX32 5305N 02235W 1642 F390 M48 257/27 5300N 02000W 1653 MALOT KT N878FD QXT AME 041643 F84A,
2022-03-04T16:45:34Z,2022-03-04T16:42:00Z,,,,,,,N1WW,50.2167,-29.15,41000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,265,59,,AIREP,ARP N1WW 5013N 02909W 1642 F410 M52 265/59 5200N 02000W 1721 LIMRI KT N1WW DDL XXH 041642 M26A,
2022-03-04T16:47:18Z,2022-03-04T16:42:00Z,,,,,,,NSP8,50.0833,-35.1667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-68,266,105,,AIREP,ARP NSP8 5005N 03510W 1642 F370 M68 266/105 5059N 03000W 1704 5059N 02000W KT N782SP DDL IG1 041642 M03A,
